,,,,
,,,,
,,,,
Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4
535 nm,3.91343E-05,3.38066E-03,9.15752E-05,4.11123E-05
536 nm,4.20269E-05,3.32170E-03,8.99390E-05,4.05481E-05
537 nm,4.33930E-05,3.24997E-03,8.60389E-05,3.97107E-05
538 nm,4.19998E-05,3.16918E-03,7.99465E-05,3.86093E-05
539 nm,3.71260E-05,3.08974E-03,7.35359E-05,3.73575E-05
540 nm,3.15197E-05,3.00534E-03,6.79856E-05,3.60146E-05
541 nm,3.03757E-05,2.90828E-03,6.41958E-05,3.47241E-05
542 nm,3.37588E-05,2.79808E-03,6.17039E-05,3.34998E-05
543 nm,3.60242E-05,2.68079E-03,5.85264E-05,3.21942E-05
544 nm,3.45127E-05,2.55901E-03,5.36266E-05,3.07196E-05
545 nm,3.22822E-05,2.43603E-03,4.78938E-05,2.91916E-05
546 nm,3.16161E-05,2.31088E-03,4.22015E-05,2.76507E-05
547 nm,3.14277E-05,2.18550E-03,3.70956E-05,2.60570E-05
548 nm,3.03951E-05,2.05778E-03,3.29025E-05,2.43395E-05
549 nm,2.87389E-05,1.92992E-03,2.98247E-05,2.26288E-05
550 nm,2.70425E-05,1.80674E-03,2.80149E-05,2.11010E-05
551 nm,2.54302E-05,1.68732E-03,2.71787E-05,1.96917E-05
552 nm,2.37476E-05,1.56443E-03,2.67333E-05,1.82090E-05
553 nm,2.16317E-05,1.44022E-03,2.57752E-05,1.67668E-05
554 nm,1.86219E-05,1.32007E-03,2.32471E-05,1.56209E-05
555 nm,1.54695E-05,1.20627E-03,1.96011E-05,1.46889E-05
556 nm,1.40153E-05,1.10086E-03,1.66489E-05,1.36236E-05
557 nm,1.52817E-05,1.00204E-03,1.48606E-05,1.23477E-05
558 nm,1.92878E-05,9.12045E-04,1.30665E-05,1.12504E-05
559 nm,2.34785E-05,8.29268E-04,1.09120E-05,1.04523E-05
560 nm,2.06854E-05,7.50527E-04,9.85873E-06,9.59158E-06
561 nm,8.69380E-06,6.73132E-04,1.05832E-05,8.40475E-06
562 nm,7.00265E-08,6.01053E-04,1.11862E-05,7.09425E-06
563 nm,4.54215E-06,5.38887E-04,1.00845E-05,5.93610E-06
564 nm,1.14948E-05,4.82370E-04,8.36412E-06,5.14872E-06
565 nm,8.22547E-06,4.30368E-04,7.61065E-06,4.89669E-06
566 nm,9.61656E-07,3.83925E-04,7.77992E-06,4.71645E-06
567 nm,1.39272E-06,3.44028E-04,8.17740E-06,4.01020E-06
568 nm,6.78011E-06,3.07786E-04,7.77502E-06,3.11679E-06
569 nm,7.35613E-06,2.72629E-04,5.58133E-06,2.83770E-06
570 nm,2.90611E-06,2.39357E-04,3.06883E-06,3.06017E-06
571 nm,1.70312E-07,2.10695E-04,3.39411E-06,3.00623E-06
572 nm,1.17119E-06,1.87634E-04,5.87820E-06,2.53780E-06
573 nm,2.95814E-06,1.68683E-04,5.94707E-06,2.17485E-06
574 nm,4.65383E-06,1.52647E-04,2.50994E-06,2.13877E-06
575 nm,8.50732E-06,1.38319E-04,0.00000E+00,2.19206E-06
576 nm,1.54940E-05,1.25204E-04,0.00000E+00,2.19086E-06
577 nm,2.37500E-05,1.12123E-04,2.16622E-07,2.19814E-06
578 nm,3.15439E-05,9.85427E-05,1.20010E-06,2.22521E-06
579 nm,3.82784E-05,8.55073E-05,1.50691E-06,2.09593E-06
580 nm,4.42772E-05,7.41537E-05,1.09798E-06,1.71258E-06
581 nm,5.26688E-05,6.57764E-05,1.46765E-06,1.36044E-06
582 nm,6.66249E-05,6.12135E-05,3.75817E-06,1.33472E-06
583 nm,8.66655E-05,5.90918E-05,5.99685E-06,1.59994E-06
584 nm,1.12143E-04,5.73866E-05,5.85420E-06,2.02168E-06
585 nm,1.40738E-04,5.45659E-05,4.39128E-06,2.45389E-06
586 nm,1.69908E-04,4.94928E-05,3.77080E-06,2.76910E-06
587 nm,2.00741E-04,4.31365E-05,4.61129E-06,3.03677E-06
588 nm,2.36260E-04,3.75248E-05,6.68219E-06,3.41211E-06
589 nm,2.75089E-04,3.36144E-05,8.61126E-06,3.82950E-06
590 nm,3.13318E-04,3.16772E-05,8.45933E-06,4.10107E-06
591 nm,3.51390E-04,3.07236E-05,6.94848E-06,4.31650E-06
592 nm,3.93945E-04,2.88958E-05,6.84371E-06,4.78807E-06
593 nm,4.41387E-04,2.61702E-05,8.36806E-06,5.57138E-06
594 nm,4.89318E-04,2.43300E-05,9.19609E-06,6.45560E-06
595 nm,5.36197E-04,2.37644E-05,8.35281E-06,7.26810E-06
596 nm,5.82454E-04,2.29656E-05,6.64302E-06,7.87666E-06
597 nm,6.25488E-04,2.15165E-05,5.06341E-06,8.22774E-06
598 nm,6.59384E-04,2.08120E-05,4.70235E-06,8.39968E-06
599 nm,6.83428E-04,2.10337E-05,5.92269E-06,8.49728E-06
600 nm,7.09465E-04,2.00382E-05,7.79729E-06,8.69056E-06
601 nm,7.43612E-04,1.71991E-05,9.47205E-06,9.05764E-06
602 nm,7.76506E-04,1.56924E-05,1.05681E-05,9.45879E-06
603 nm,8.11352E-04,1.76305E-05,1.10271E-05,9.88969E-06
604 nm,8.86944E-04,2.10175E-05,1.14226E-05,1.07438E-05
605 nm,1.03788E-03,2.39783E-05,1.24893E-05,1.24558E-05
606 nm,1.25328E-03,2.68321E-05,1.49564E-05,1.52157E-05
607 nm,1.50307E-03,3.00390E-05,1.87570E-05,1.88102E-05
608 nm,1.74192E-03,3.34307E-05,2.11149E-05,2.19753E-05
609 nm,1.95630E-03,3.69215E-05,2.03273E-05,2.39574E-05
610 nm,2.27453E-03,4.12480E-05,2.19987E-05,2.71354E-05
611 nm,2.79703E-03,4.68868E-05,3.14119E-05,3.36592E-05
612 nm,3.27233E-03,5.16779E-05,4.15767E-05,3.99373E-05
613 nm,3.40058E-03,5.28902E-05,4.34274E-05,4.14785E-05
614 nm,3.12302E-03,4.72057E-05,3.71716E-05,3.76614E-05
615 nm,2.51607E-03,3.28993E-05,2.68345E-05,2.98237E-05
616 nm,1.86437E-03,1.93044E-05,1.76309E-05,2.15950E-05
617 nm,1.50222E-03,1.85330E-05,1.44803E-05,1.70928E-05
618 nm,1.40279E-03,2.57463E-05,1.51385E-05,1.59201E-05
619 nm,1.37629E-03,2.90210E-05,1.44630E-05,1.56601E-05
620 nm,1.35975E-03,2.74831E-05,1.28762E-05,1.56241E-05
621 nm,1.35615E-03,2.58186E-05,1.34770E-05,1.59826E-05
622 nm,1.37953E-03,2.54191E-05,1.64847E-05,1.65981E-05
623 nm,1.44669E-03,2.56749E-05,2.03894E-05,1.71771E-05
624 nm,1.56518E-03,2.58936E-05,2.36537E-05,1.80886E-05
625 nm,1.74777E-03,2.56898E-05,2.50689E-05,2.01992E-05
626 nm,2.17947E-03,2.95299E-05,2.80307E-05,2.57649E-05
627 nm,3.13810E-03,4.45755E-05,3.85660E-05,3.77261E-05
628 nm,4.63533E-03,7.11454E-05,5.71025E-05,5.62360E-05
629 nm,6.46245E-03,1.04101E-04,7.97365E-05,7.90369E-05
630 nm,7.95417E-03,1.29894E-04,9.76892E-05,9.75121E-05
631 nm,8.16041E-03,1.30037E-04,9.92797E-05,9.90856E-05
632 nm,7.32085E-03,1.11742E-04,8.78169E-05,8.73911E-05
633 nm,6.55433E-03,1.00880E-04,7.76711E-05,7.79792E-05
634 nm,6.05959E-03,9.91688E-05,7.16628E-05,7.30045E-05
635 nm,5.29706E-03,8.93258E-05,6.33109E-05,6.39555E-05
636 nm,4.13027E-03,6.85094E-05,5.05128E-05,4.90191E-05
637 nm,2.78744E-03,4.62254E-05,3.51999E-05,3.22823E-05
638 nm,1.58552E-03,2.86954E-05,2.09318E-05,1.78885E-05
639 nm,8.85191E-04,1.88437E-05,1.22667E-05,9.64262E-06
640 nm,6.65291E-04,1.56241E-05,9.01964E-06,7.17087E-06
641 nm,5.93819E-04,1.48218E-05,7.19718E-06,6.70660E-06
642 nm,5.53808E-04,1.36588E-05,6.53407E-06,6.62012E-06
643 nm,6.16704E-04,1.08960E-05,9.81287E-06,7.20108E-06
644 nm,8.21252E-04,9.47483E-06,1.59945E-05,9.15905E-06
645 nm,1.16402E-03,1.52487E-05,2.09167E-05,1.33404E-05
646 nm,1.51694E-03,2.55646E-05,2.37073E-05,1.82579E-05
647 nm,1.66223E-03,3.11007E-05,2.60437E-05,2.06540E-05
648 nm,1.54387E-03,2.81298E-05,2.59483E-05,1.93593E-05
649 nm,1.23905E-03,1.78384E-05,1.90048E-05,1.50027E-05
650 nm,8.87764E-04,6.63037E-06,8.64243E-06,9.99231E-06
651 nm,6.60313E-04,3.90990E-06,3.57633E-06,7.73365E-06
652 nm,5.68564E-04,8.46754E-06,3.65162E-06,7.89111E-06
653 nm,5.15076E-04,1.19863E-05,2.74373E-06,7.60715E-06
654 nm,4.61371E-04,1.34763E-05,8.59841E-07,6.33988E-06
655 nm,4.10073E-04,1.64918E-05,1.76250E-06,5.09053E-06
656 nm,3.66330E-04,1.87041E-05,3.93197E-06,4.26316E-06
657 nm,3.36062E-04,1.48401E-05,3.06966E-06,3.87933E-06
658 nm,3.12112E-04,7.71991E-06,8.88189E-07,3.92561E-06
659 nm,2.82330E-04,4.21208E-06,1.98468E-06,4.29755E-06
660 nm,2.51444E-04,4.34121E-06,4.91215E-06,4.13698E-06
661 nm,2.31374E-04,4.68859E-06,5.48660E-06,2.52177E-06
662 nm,2.16538E-04,3.75168E-06,3.82607E-06,1.26300E-06
663 nm,1.95579E-04,1.34032E-06,1.94838E-06,2.82755E-06
664 nm,1.75603E-04,0.00000E+00,5.37921E-07,4.95857E-06
665 nm,1.70208E-04,2.33057E-06,0.00000E+00,4.16950E-06
666 nm,1.75555E-04,5.36659E-06,0.00000E+00,2.21650E-06
667 nm,1.83005E-04,4.85391E-06,1.24631E-06,2.14357E-06
668 nm,1.93767E-04,3.20270E-06,2.03008E-06,2.90570E-06
669 nm,2.09072E-04,3.75411E-06,9.20862E-07,2.64773E-06
670 nm,2.19621E-04,3.99266E-06,4.58278E-08,2.17060E-06
671 nm,2.15743E-04,1.42953E-06,1.32985E-06,2.55780E-06
672 nm,1.93793E-04,1.15145E-07,2.02568E-06,3.01528E-06
673 nm,1.57221E-04,3.19171E-06,1.97816E-07,2.64857E-06
674 nm,1.27643E-04,5.38355E-06,4.11534E-07,1.79334E-06
675 nm,1.19348E-04,2.75048E-06,5.30399E-06,1.04776E-06
676 nm,1.19727E-04,0.00000E+00,8.75293E-06,1.06906E-06
677 nm,1.17149E-04,0.00000E+00,6.77885E-06,1.90913E-06
678 nm,1.13661E-04,2.16304E-07,3.61037E-06,2.25603E-06
679 nm,1.10722E-04,3.31076E-07,2.25520E-06,1.66826E-06
680 nm,1.05173E-04,0.00000E+00,1.40031E-06,1.64005E-06
681 nm,9.62142E-05,0.00000E+00,3.59656E-07,2.59351E-06
682 nm,8.73124E-05,1.01265E-06,7.06025E-08,3.03087E-06
683 nm,8.08787E-05,4.05726E-06,6.29660E-07,2.49535E-06
684 nm,7.80808E-05,5.75198E-06,9.81469E-07,1.99210E-06
685 nm,7.84124E-05,5.30809E-06,1.10542E-06,1.80492E-06
686 nm,7.96880E-05,4.17380E-06,1.96490E-06,1.43874E-06
687 nm,7.95390E-05,3.99981E-06,2.55431E-06,9.51958E-07
688 nm,7.56306E-05,6.16930E-06,7.10127E-07,8.33779E-07
689 nm,6.78941E-05,8.15672E-06,0.00000E+00,1.11620E-06
690 nm,5.80295E-05,5.81029E-06,4.25445E-06,1.52498E-06
691 nm,5.16006E-05,2.41317E-06,9.47536E-06,1.74537E-06
692 nm,5.42032E-05,3.49776E-06,6.85122E-06,1.55817E-06
693 nm,5.89463E-05,5.47555E-06,2.37007E-06,1.40512E-06
694 nm,5.73316E-05,3.14157E-06,4.33199E-06,1.76448E-06
695 nm,5.59260E-05,0.00000E+00,6.47013E-06,2.13501E-06
696 nm,6.13428E-05,0.00000E+00,2.55363E-06,2.01051E-06
697 nm,6.58006E-05,0.00000E+00,2.08269E-07,1.77150E-06
698 nm,6.29085E-05,0.00000E+00,4.99105E-06,1.76965E-06
699 nm,5.72701E-05,1.25496E-06,1.00014E-05,1.80837E-06
700 nm,5.35520E-05,7.62606E-06,1.02149E-05,1.72864E-06
701 nm,5.37486E-05,1.19675E-05,7.29819E-06,1.59193E-06
702 nm,5.79710E-05,1.07904E-05,3.30691E-06,1.41461E-06
703 nm,6.40364E-05,5.51860E-06,0.00000E+00,1.12667E-06
704 nm,6.71059E-05,4.78411E-07,0.00000E+00,8.14857E-07
705 nm,6.07893E-05,1.86087E-06,3.43064E-06,7.09494E-07
706 nm,4.97287E-05,6.36319E-06,9.78441E-06,7.48638E-07
707 nm,4.46443E-05,5.16164E-06,1.19450E-05,7.01214E-07
708 nm,4.28100E-05,4.45655E-07,9.39490E-06,7.30166E-07
709 nm,3.66189E-05,0.00000E+00,4.55482E-06,1.09963E-06
710 nm,3.01016E-05,8.95008E-08,0.00000E+00,1.51625E-06
711 nm,2.97996E-05,1.84322E-06,0.00000E+00,1.61526E-06
712 nm,3.65243E-05,3.07120E-06,8.93797E-07,1.48577E-06
713 nm,4.65666E-05,3.41791E-06,7.37260E-06,1.28624E-06
714 nm,4.82849E-05,3.45896E-06,8.89807E-06,1.07825E-06
715 nm,3.93206E-05,3.36246E-06,2.97590E-06,9.44568E-07
716 nm,3.47526E-05,2.37872E-06,0.00000E+00,1.01828E-06
717 nm,3.61104E-05,6.60823E-07,8.33710E-07,1.08281E-06
718 nm,2.81269E-05,0.00000E+00,1.56360E-06,5.73437E-07
719 nm,1.33965E-05,0.00000E+00,3.16118E-07,0.00000E+00
720 nm,8.40556E-06,1.67946E-06,0.00000E+00,5.23305E-07
